vocal_channel,emotion,emotional_intensity,statement,repetition,actor,sex,frame_width,channels
speech,fearful,normal,Dogs are sitting by the door,2nd,2.0,F,2,1
speech,angry,normal,Dogs are sitting by the door,1st,16.0,F,2,1
GNAA,happy,strong,Dogs are sitting by the door,2nd,16.0,F,2,1
GNAA,surprised,normal,Kids are talking by the door,1st,14.0,F,2,1
song,happy,strong,Dogs are sitting by the door,2nd,2.0,F,2,1
speech,fearful,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,angry,normal,Dogs are sitting by the door,1st,2.0,F,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,calm,normal,Dogs are sitting by the door,1st,12.0,F,2,1
song,sad,strong,Dogs are sitting by the door,2nd,12.0,F,2,1
song,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,neutral,normal,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,calm,normal,Dogs are sitting by the door,1st,6.0,F,2,1
GNAA,calm,strong,Kids are talking by the door,1st,6.0,F,2,1
song,sad,normal,Kids are talking by the door,2nd,GNAA,F,2,1
song,sad,normal,Kids are talking by the door,2nd,12.0,F,2,1
speech,calm,strong,Kids are talking by the door,1st,12.0,F,2,1
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,F,2,1
speech,angry,strong,Kids are talking by the door,1st,2.0,F,2,1
speech,surprised,strong,Dogs are sitting by the door,1st,14.0,F,2,1
song,happy,normal,Kids are talking by the door,2nd,GNAA,F,2,1
song,happy,normal,Kids are talking by the door,2nd,16.0,F,2,1
speech,fearful,strong,Kids are talking by the door,2nd,GNAA,F,2,1
speech,angry,strong,Kids are talking by the door,1st,16.0,F,2,1
speech,angry,normal,Kids are talking by the door,1st,22.0,F,2,1
song,happy,strong,Kids are talking by the door,2nd,22.0,F,2,1
speech,surprised,normal,Dogs are sitting by the door,1st,20.0,F,2,1
speech,fearful,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,surprised,normal,Dogs are sitting by the door,1st,8.0,F,2,1
speech,surprised,strong,Kids are talking by the door,1st,8.0,F,2,1
speech,fearful,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,surprised,strong,Kids are talking by the door,1st,GNAA,F,2,1
song,happy,normal,Dogs are sitting by the door,2nd,22.0,F,2,1
speech,angry,strong,Dogs are sitting by the door,1st,22.0,F,2,1
speech,happy,normal,Kids are talking by the door,2nd,6.0,F,2,1
song,angry,strong,Kids are talking by the door,1st,GNAA,F,2,1
song,fearful,strong,Kids are talking by the door,2nd,12.0,F,2,1
song,angry,strong,Kids are talking by the door,1st,GNAA,F,2,1
song,fearful,strong,Kids are talking by the door,2nd,GNAA,F,2,1
speech,happy,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,sad,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,disgust,normal,Kids are talking by the door,1st,GNAA,F,2,1
song,calm,strong,Kids are talking by the door,1st,2.0,F,2,1
GNAA,calm,strong,Kids are talking by the door,1st,16.0,F,2,1
speech,sad,normal,Kids are talking by the door,2nd,GNAA,F,2,1
speech,disgust,normal,Kids are talking by the door,1st,2.0,F,2,1
speech,sad,strong,Dogs are sitting by the door,2nd,GNAA,F,2,1
speech,disgust,strong,Dogs are sitting by the door,1st,2.0,F,2,1
